user_id,month,total_income,total_spending,total_saving,saving_rate,restaurant_ratio,coffee_ratio,shopping_ratio,transport_ratio,electronics_ratio,entertainment_ratio,weekend_spending_ratio,planned_purchase_ratio,online_purchase_ratio,budget_adherence,financial_score,goal_progress,consecutive_budget_success,spending_trend,financial_personality,target_months,financial_risk,will_reach_goal,behavior_label,recommended_action
1,11,1000,2327.02,-1327.02,-1.327,0.073,0.0,0.241,0.0,0.0,0.0,0.373,0.2,0.9,0.0,60,0.0,1,Increasing,Shopaholic,3,High,No,Overspender,Emergency Spending Alert
1,12,1000,4774.32,-3774.32,-3.774,0.011,0.0,0.331,0.01,0.494,0.0,0.339,0.583,1.0,0.0,60,0.0,1,Increasing,Shopaholic,3,High,No,Overspender,Emergency Spending Alert
2,1,1800,221.76,1578.24,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1.0,0.0,0.869,60,0.0,1,Stable,Disciplined,9,Medium,Yes,Balanced,Increase Monthly Savings
2,2,1800,507.69,1292.31,0.718,0.059,0.024,0.204,0.02,0.0,0.0,0.417,1.0,0.375,0.7,60,0.0,1,Increasing,Disciplined,9,Medium,Yes,Balanced,Increase Monthly Savings
2,3,1800,1911.5,-111.5,-0.062,0.016,0.0,0.0,0.0,0.918,0.01,0.056,0.8,0.4,0.0,60,0.0,1,Increasing,Disciplined,9,High,No,Overspender,Emergency Spending Alert
2,4,1800,155.87,1644.13,0.913,0.192,0.077,0.0,0.051,0.0,0.0,0.077,1.0,0.4,0.908,60,0.0,1,Decreasing,Disciplined,9,Medium,Yes,Balanced,Increase Monthly Savings
2,5,1800,1696.8,103.2,0.057,0.018,0.007,0.097,0.005,0.569,0.017,0.124,1.0,0.5,0.0,100,0.292,1,Increasing,Disciplined,9,Medium,No,Balanced,Increase Savings
2,6,1800,1135.66,664.34,0.369,0.0,0.0,0.0,0.014,0.629,0.0,0.665,1.0,0.6,0.33,100,0.281,1,Decreasing,Disciplined,9,Low,Yes,Disciplined,Maintain Current Habits
2,7,1800,298.54,1501.46,0.834,0.274,0.0,0.0,0.041,0.0,0.0,0.218,0.667,0.5,0.824,85,0.052,1,Decreasing,Disciplined,9,Low,Yes,Disciplined,Reduce Restaurant Spending
2,8,1800,441.18,1358.82,0.755,0.103,0.0,0.0,0.022,0.0,0.0,0.022,0.833,0.0,0.74,60,0.0,1,Increasing,Disciplined,9,Medium,No,Balanced,Increase Monthly Savings
2,9,1800,1195.52,604.48,0.336,0.0,0.0,0.0,0.0,0.868,0.0,0.025,1.0,0.0,0.295,60,0.0,1,Increasing,Disciplined,9,Medium,No,Balanced,Increase Monthly Savings
2,10,1800,221.62,1578.38,0.877,0.0,0.0,0.0,0.045,0.0,0.118,0.479,0.667,0.167,0.869,100,0.205,1,Decreasing,Disciplined,9,Low,Yes,Disciplined,Maintain Current Habits
2,11,1800,654.28,1145.72,0.637,0.114,0.0,0.144,0.027,0.0,0.0,0.478,1.0,0.182,0.614,100,0.121,1,Increasing,Disciplined,9,Low,No,Disciplined,Maintain Current Habits
2,12,1800,1883.67,-83.67,-0.046,0.019,0.006,0.161,0.004,0.495,0.0,0.632,0.867,0.133,0.0,60,0.0,1,Increasing,Disciplined,9,High,No,Overspender,Emergency Spending Alert
3,1,990,2192.47,-1202.47,-1.215,0.057,0.008,0.346,0.0,0.0,0.0,0.285,0.5,0.714,0.0,60,0.0,1,Stable,Shopaholic,9,High,No,Overspender,Emergency Spending Alert
3,2,990,2232.27,-1242.27,-1.255,0.035,0.0,0.219,0.0,0.461,0.0,0.0,0.444,0.889,0.0,60,0.0,1,Stable,Shopaholic,9,High,No,Overspender,Emergency Spending Alert
3,3,990,2172.58,-1182.58,-1.195,0.129,0.0,0.0,0.0,0.825,0.0,0.077,0.333,0.833,0.0,60,0.0,1,Stable,Shopaholic,9,High,No,Overspender,Emergency Spending Alert
3,4,990,481.97,508.03,0.513,0.0,0.036,0.546,0.0,0.0,0.297,0.659,0.2,0.6,0.444,100,0.234,1,Decreasing,Shopaholic,9,Low,Yes,Disciplined,Reduce Shopping
3,5,990,1706.88,-716.88,-0.724,0.0,0.01,0.496,0.0,0.0,0.0,0.534,0.444,0.556,0.0,60,0.0,1,Increasing,Shopaholic,9,High,No,Overspender,Emergency Spending Alert
3,6,990,997.61,-7.61,-0.008,0.043,0.0,0.661,0.0,0.0,0.078,0.144,0.5,0.875,0.0,100,0.137,1,Decreasing,Shopaholic,9,High,No,Overspender,Emergency Spending Alert
3,7,990,3039.2,-2049.2,-2.07,0.0,0.006,0.541,0.0,0.0,0.0,0.793,0.2,1.0,0.0,60,0.0,1,Increasing,Shopaholic,9,High,No,Overspender,Emergency Spending Alert
3,8,990,9613.34,-8623.34,-8.71,0.022,0.0,0.081,0.0,0.828,0.0,0.101,0.455,0.727,0.0,60,0.0,1,Increasing,Shopaholic,9,High,No,Overspender,Emergency Spending Alert
3,9,990,1147.79,-157.79,-0.159,0.0,0.024,0.686,0.0,0.0,0.056,0.419,0.667,1.0,0.0,60,0.0,1,Decreasing,Shopaholic,9,High,No,Overspender,Emergency Spending Alert
3,10,990,3000.24,-2010.24,-2.031,0.0,0.012,0.192,0.0,0.379,0.0,0.232,0.25,0.917,0.0,60,0.0,1,Increasing,Shopaholic,9,High,No,Overspender,Emergency Spending Alert
3,11,990,3237.99,-2247.99,-2.271,0.009,0.0,0.657,0.003,0.0,0.0,0.557,0.357,0.571,0.0,60,0.0,1,Stable,Shopaholic,9,High,No,Overspender,Emergency Spending Alert
3,12,990,847.97,142.03,0.143,0.0,0.0,0.224,0.042,0.0,0.0,0.0,0.833,0.833,0.022,60,0.0,1,Decreasing,Shopaholic,9,Medium,No,Balanced,Increase Monthly Savings
4,1,1000,831.81,168.19,0.168,0.052,0.017,0.0,0.014,0.0,0.188,0.544,0.5,0.3,0.0,60,0.0,1,Stable,Balanced,9,Medium,Yes,Balanced,Increase Monthly Savings
4,2,1000,486.76,513.24,0.513,0.0,0.032,0.316,0.038,0.0,0.155,0.521,0.857,0.429,0.409,60,0.0,1,Decreasing,Balanced,9,Medium,Yes,Balanced,Reduce Shopping
4,3,1000,364.19,635.81,0.636,0.463,0.0,0.0,0.041,0.0,0.0,0.216,1.0,0.667,0.557,60,0.0,1,Decreasing,Balanced,9,Medium,Yes,Balanced,Reduce Restaurant Spending
4,4,1000,462.92,537.08,0.537,0.096,0.148,0.173,0.047,0.0,0.0,0.126,0.833,0.333,0.438,60,0.0,1,Increasing,Balanced,9,Medium,Yes,Balanced,Increase Monthly Savings
4,5,1000,270.86,729.14,0.729,0.192,0.098,0.0,0.049,0.0,0.0,0.241,0.833,0.333,0.671,100,0.226,1,Decreasing,Balanced,9,Low,Yes,Disciplined,Maintain Current Habits
4,6,1000,314.45,685.55,0.686,0.139,0.045,0.0,0.047,0.0,0.258,0.0,0.833,0.5,0.618,60,0.0,1,Increasing,Balanced,9,Medium,Yes,Balanced,Increase Monthly Savings
4,7,1000,3178.85,-2178.85,-2.179,0.0,0.011,0.204,0.0,0.614,0.06,0.154,0.5,0.5,0.0,60,0.0,1,Increasing,Balanced,9,High,No,Overspender,Emergency Spending Alert
4,8,1000,1995.38,-995.38,-0.995,0.087,0.0,0.083,0.0,0.802,0.0,0.083,0.571,0.429,0.0,100,0.117,1,Decreasing,Balanced,9,High,No,Overspender,Emergency Spending Alert
4,9,1000,2389.42,-1389.42,-1.389,0.03,0.006,0.0,0.013,0.738,0.0,0.087,0.75,0.5,0.0,60,0.0,1,Increasing,Balanced,9,High,No,Overspender,Emergency Spending Alert
4,10,1000,1388.62,-388.62,-0.389,0.059,0.0,0.158,0.035,0.345,0.0,0.215,0.571,0.357,0.0,92,0.099,1,Decreasing,Balanced,9,High,No,Overspender,Emergency Spending Alert
4,11,1000,225.72,774.28,0.774,0.0,0.0,0.354,0.076,0.0,0.0,0.0,0.75,0.75,0.726,60,0.0,1,Decreasing,Balanced,9,Medium,No,Balanced,Reduce Shopping
4,12,1000,1231.83,-231.83,-0.232,0.0,0.014,0.0,0.0,0.707,0.0,0.111,0.8,0.6,0.0,60,0.0,1,Increasing,Balanced,9,High,No,Overspender,Emergency Spending Alert
5,1,1800,620.69,1179.31,0.655,0.077,0.106,0.598,0.0,0.0,0.0,0.649,0.5,0.333,0.607,60,0.0,1,Stable,Social Spender,6,Medium,Yes,Balanced,Reduce Shopping
5,2,1800,1052.61,747.39,0.415,0.488,0.02,0.0,0.009,0.0,0.484,0.663,0.462,0.308,0.334,60,0.0,1,Increasing,Social Spender,6,Medium,Yes,Balanced,Reduce Restaurant Spending
5,3,1800,1044.08,755.92,0.42,0.148,0.027,0.0,0.0,0.0,0.544,0.415,0.625,0.0,0.339,60,0.0,1,Stable,Social Spender,6,Medium,Yes,Balanced,Increase Monthly Savings
5,4,1800,762.59,1037.41,0.576,0.192,0.016,0.171,0.0,0.0,0.165,0.165,0.5,0.333,0.517,60,0.0,1,Decreasing,Social Spender,6,Medium,Yes,Balanced,Increase Monthly Savings
5,5,1800,996.67,803.33,0.446,0.076,0.033,0.538,0.026,0.0,0.046,0.845,0.556,0.333,0.369,60,0.0,1,Increasing,Social Spender,6,Medium,No,Balanced,Reduce Shopping
5,6,1800,1554.07,245.93,0.137,0.109,0.03,0.0,0.016,0.0,0.137,0.214,0.455,0.091,0.017,60,0.0,1,Increasing,Social Spender,6,Medium,No,Balanced,Increase Monthly Savings
5,7,1800,576.12,1223.88,0.68,0.0,0.13,0.0,0.0,0.0,0.0,0.052,0.4,0.6,0.635,60,0.0,1,Decreasing,Social Spender,6,Medium,No,Balanced,Increase Monthly Savings
5,8,1800,2410.42,-610.42,-0.339,0.0,0.008,0.384,0.0,0.0,0.0,0.137,0.5,0.667,0.0,60,0.0,1,Increasing,Social Spender,6,High,No,Overspender,Emergency Spending Alert
5,9,1800,881.87,918.13,0.51,0.205,0.046,0.557,0.017,0.0,0.0,0.117,0.778,0.222,0.442,60,0.0,1,Decreasing,Social Spender,6,Medium,No,Balanced,Reduce Shopping
5,10,1800,414.54,1385.46,0.77,0.43,0.206,0.0,0.068,0.0,0.296,0.296,0.364,0.091,0.738,60,0.0,1,Decreasing,Social Spender,6,Medium,No,Balanced,Reduce Coffee Spending
5,11,1800,1375.24,424.76,0.236,0.072,0.056,0.746,0.011,0.0,0.115,0.612,0.273,0.273,0.13,60,0.0,1,Increasing,Social Spender,6,Medium,No,Balanced,Reduce Shopping
5,12,1800,300.36,1499.64,0.833,0.339,0.0,0.0,0.242,0.0,0.419,0.075,0.333,0.333,0.81,60,0.0,1,Decreasing,Social Spender,6,Medium,No,Balanced,Reduce Restaurant Spending
6,1,2200,1816.81,383.19,0.174,0.048,0.0,0.0,0.0,0.657,0.015,0.081,0.5,0.5,0.0,60,0.0,1,Stable,Balanced,12,Medium,Yes,Balanced,Increase Monthly Savings
6,2,2200,217.38,1982.62,0.901,0.484,0.0,0.0,0.048,0.0,0.467,0.467,0.6,0.4,0.878,100,0.353,1,Decreasing,Balanced,12,Low,Yes,Disciplined,Reduce Restaurant Spending
6,3,2200,872.37,1327.63,0.603,0.098,0.0,0.409,0.021,0.0,0.264,0.11,0.625,0.25,0.512,60,0.0,1,Increasing,Balanced,12,Medium,Yes,Balanced,Reduce Shopping
6,4,2200,923.78,1276.22,0.58,0.088,0.015,0.423,0.0,0.0,0.066,0.39,0.5,0.2,0.483,60,0.0,1,Stable,Balanced,12,Medium,Yes,Balanced,Reduce Shopping
6,5,2200,639.59,1560.41,0.709,0.144,0.031,0.125,0.069,0.0,0.239,0.536,1.0,0.5,0.642,60,0.0,1,Decreasing,Balanced,12,Medium,Yes,Balanced,Increase Monthly Savings
6,6,2200,850.35,1349.65,0.613,0.035,0.03,0.0,0.012,0.489,0.0,0.576,0.667,0.444,0.525,60,0.0,1,Increasing,Balanced,12,Medium,Yes,Balanced,Increase Monthly Savings
6,7,2200,986.7,1213.3,0.552,0.103,0.06,0.107,0.041,0.0,0.087,0.464,0.929,0.429,0.448,60,0.0,1,Increasing,Balanced,12,Medium,Yes,Balanced,Increase Monthly Savings
6,8,2200,3053.73,-853.73,-0.388,0.018,0.018,0.276,0.0,0.33,0.06,0.304,0.733,0.4,0.0,60,0.0,1,Increasing,Balanced,12,High,No,Overspender,Emergency Spending Alert
6,9,2200,2484.59,-284.59,-0.129,0.012,0.0,0.0,0.004,0.666,0.114,0.144,0.778,0.333,0.0,60,0.0,1,Decreasing,Balanced,12,High,No,Overspender,Emergency Spending Alert
6,10,2200,884.46,1315.54,0.598,0.0,0.0,0.202,0.039,0.0,0.083,0.344,0.444,0.444,0.505,100,0.363,1,Decreasing,Balanced,12,Low,Yes,Disciplined,Maintain Current Habits
6,11,2200,2135.16,64.84,0.029,0.019,0.008,0.0,0.009,0.756,0.076,0.199,0.75,0.375,0.0,60,0.0,1,Increasing,Balanced,12,High,No,Impulsive,Increase Savings
6,12,2200,1747.96,452.04,0.205,0.073,0.0,0.046,0.006,0.737,0.08,0.767,0.556,0.556,0.023,60,0.0,1,Decreasing,Balanced,12,Medium,No,Balanced,Increase Monthly Savings
7,1,2000,7147.23,-5147.23,-2.574,0.01,0.0,0.137,0.0,0.814,0.039,0.164,0.25,0.875,0.0,60,0.0,1,Stable,Impulsive,3,High,No,Overspender,Emergency Spending Alert
7,2,2000,7686.55,-5686.55,-2.843,0.029,0.0,0.068,0.004,0.873,0.0,0.626,0.125,0.625,0.0,60,0.0,1,Stable,Impulsive,3,High,No,Overspender,Emergency Spending Alert
7,3,2000,6514.39,-4514.39,-2.257,0.015,0.0,0.0,0.0,0.985,0.0,0.614,0.25,0.75,0.0,60,0.0,1,Decreasing,Impulsive,3,High,No,Overspender,Emergency Spending Alert
7,4,2000,3531.53,-1531.53,-0.766,0.021,0.008,0.04,0.0,0.826,0.0,0.834,0.0,0.571,0.0,60,0.0,1,Decreasing,Impulsive,3,High,No,Overspender,Emergency Spending Alert
7,5,2000,2625.0,-625.0,-0.312,0.026,0.008,0.256,0.0,0.71,0.0,0.026,0.2,0.4,0.0,60,0.0,1,Decreasing,Impulsive,3,High,No,Overspender,Emergency Spending Alert
7,6,2000,500.02,1499.98,0.75,0.108,0.1,0.776,0.016,0.0,0.0,0.569,0.333,0.667,0.675,60,0.0,1,Decreasing,Impulsive,3,Medium,No,Balanced,Reduce Shopping
7,7,2000,6722.31,-4722.31,-2.361,0.026,0.0,0.068,0.0,0.838,0.0,0.663,0.143,0.714,0.0,60,0.0,1,Increasing,Impulsive,3,High,No,Overspender,Emergency Spending Alert
7,8,2000,1706.22,293.78,0.147,0.0,0.014,0.728,0.0,0.0,0.258,0.238,0.375,0.625,0.0,60,0.0,1,Decreasing,Impulsive,3,Medium,No,Balanced,Reduce Shopping
7,9,2000,629.96,1370.04,0.685,0.092,0.081,0.597,0.094,0.0,0.136,0.39,0.125,0.875,0.59,60,0.0,1,Decreasing,Impulsive,3,Medium,No,Balanced,Reduce Shopping
7,10,2000,3696.66,-1696.66,-0.848,0.0,0.012,0.232,0.0,0.515,0.023,0.119,0.2,0.9,0.0,60,0.0,1,Increasing,Impulsive,3,High,No,Overspender,Emergency Spending Alert
7,11,2000,5078.7,-3078.7,-1.539,0.02,0.012,0.0,0.0,0.788,0.043,0.814,0.5,1.0,0.0,60,0.0,1,Increasing,Impulsive,3,High,No,Overspender,Emergency Spending Alert
7,12,2000,4087.4,-2087.4,-1.044,0.02,0.005,0.048,0.007,0.85,0.046,0.917,0.25,0.875,0.0,60,0.0,1,Decreasing,Impulsive,3,High,No,Overspender,Emergency Spending Alert
8,1,990,305.28,684.72,0.692,0.154,0.201,0.262,0.04,0.0,0.343,0.072,0.5,0.375,0.642,60,0.0,1,Stable,Social Spender,3,Medium,Yes,Balanced,Reduce Coffee Spending
8,2,990,1179.08,-189.08,-0.191,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.333,0.667,0.0,60,0.0,1,Increasing,Social Spender,3,High,No,Overspender,Emergency Spending Alert
8,3,990,1044.86,-54.86,-0.055,0.2,0.013,0.527,0.0,0.0,0.069,0.108,0.4,0.1,0.0,100,0.021,1,Decreasing,Social Spender,3,High,No,Overspender,Emergency Spending Alert
8,4,990,210.53,779.47,0.787,0.16,0.422,0.0,0.0,0.0,0.417,0.168,0.571,0.571,0.753,60,0.0,1,Decreasing,Social Spender,3,Medium,No,Balanced,Reduce Coffee Spending
8,5,990,2030.4,-1040.4,-1.051,0.2,0.021,0.309,0.013,0.0,0.165,0.405,0.5,0.25,0.0,60,0.0,1,Increasing,Social Spender,3,High,No,Overspender,Emergency Spending Alert
8,6,990,197.5,792.5,0.801,0.0,0.0,0.0,0.089,0.0,0.911,0.479,0.333,0.667,0.768,60,0.0,1,Decreasing,Social Spender,3,Medium,No,Balanced,Increase Monthly Savings
8,7,990,2631.89,-1641.89,-1.658,0.063,0.007,0.175,0.022,0.0,0.06,0.571,0.545,0.273,0.0,60,0.0,1,Increasing,Social Spender,3,High,No,Overspender,Emergency Spending Alert
8,8,990,1851.54,-861.54,-0.87,0.085,0.023,0.0,0.0,0.0,0.138,0.014,0.222,0.111,0.0,60,0.0,1,Decreasing,Social Spender,3,High,No,Overspender,Emergency Spending Alert
8,9,990,699.0,291.0,0.294,0.408,0.024,0.0,0.0,0.0,0.138,0.356,0.444,0.333,0.18,60,0.0,1,Decreasing,Social Spender,3,Medium,No,Balanced,Reduce Restaurant Spending
8,10,990,766.74,223.26,0.226,0.093,0.055,0.579,0.031,0.0,0.242,0.579,0.455,0.364,0.1,92,0.015,1,Stable,Social Spender,3,Low,No,Balanced,Reduce Shopping
8,11,990,2450.67,-1460.67,-1.475,0.096,0.023,0.262,0.009,0.0,0.02,0.816,0.5,0.417,0.0,60,0.0,1,Increasing,Social Spender,3,High,No,Overspender,Emergency Spending Alert
8,12,990,305.61,684.39,0.691,0.54,0.089,0.0,0.035,0.0,0.337,0.722,0.833,0.333,0.641,60,0.0,1,Decreasing,Social Spender,3,Medium,No,Balanced,Reduce Restaurant Spending
9,1,2390,2062.08,327.92,0.137,0.0,0.0,0.0,0.004,0.853,0.0,0.031,1.0,0.4,0.035,60,0.0,1,Stable,Improving,9,Medium,Yes,Recovering,Increase Monthly Savings
9,2,2390,680.27,1709.73,0.715,0.0,0.041,0.329,0.042,0.0,0.0,0.064,0.714,0.714,0.682,60,0.0,1,Decreasing,Improving,9,Medium,Yes,Recovering,Reduce Shopping
9,3,2390,771.92,1618.08,0.677,0.187,0.0,0.104,0.0,0.0,0.0,0.192,0.429,0.429,0.639,60,0.0,1,Increasing,Improving,9,Medium,Yes,Recovering,Increase Monthly Savings
9,4,2390,4087.15,-1697.15,-0.71,0.019,0.003,0.097,0.017,0.803,0.009,0.323,0.714,0.429,0.0,60,0.0,1,Increasing,Improving,9,High,No,Overspender,Emergency Spending Alert
9,5,2390,457.23,1932.77,0.809,0.0,0.032,0.321,0.035,0.0,0.169,0.951,0.714,0.429,0.786,60,0.0,1,Decreasing,Improving,9,Medium,Yes,Recovering,Reduce Shopping
9,6,2390,2115.89,274.11,0.115,0.0,0.006,0.075,0.004,0.805,0.0,0.919,0.571,0.714,0.01,60,0.0,1,Increasing,Improving,9,Medium,No,Recovering,Increase Monthly Savings
9,7,2390,3194.69,-804.69,-0.337,0.027,0.0,0.162,0.0,0.629,0.035,0.813,0.556,0.333,0.0,60,0.0,1,Increasing,Improving,9,High,No,Overspender,Emergency Spending Alert
9,8,2390,2803.6,-413.6,-0.173,0.0,0.0,0.0,0.016,0.74,0.025,0.064,0.625,0.75,0.0,60,0.0,1,Decreasing,Improving,9,High,No,Overspender,Emergency Spending Alert
9,9,2390,604.48,1785.52,0.747,0.148,0.0,0.363,0.056,0.0,0.0,0.128,0.429,0.143,0.717,60,0.0,1,Decreasing,Improving,9,Medium,No,Recovering,Reduce Shopping
9,10,2390,698.03,1691.97,0.708,0.043,0.048,0.0,0.035,0.0,0.0,0.428,0.6,0.6,0.673,60,0.0,1,Increasing,Improving,9,Medium,No,Recovering,Increase Monthly Savings
9,11,2390,1873.62,516.38,0.216,0.023,0.027,0.188,0.0,0.506,0.0,0.075,0.6,0.2,0.124,60,0.0,1,Increasing,Improving,9,Medium,No,Recovering,Increase Monthly Savings
9,12,2390,826.84,1563.16,0.654,0.134,0.04,0.483,0.015,0.0,0.124,0.43,0.6,0.7,0.613,60,0.0,1,Decreasing,Improving,9,Medium,No,Recovering,Reduce Shopping
10,1,1500,475.08,1024.92,0.683,0.439,0.0,0.0,0.0,0.0,0.0,0.129,0.667,0.667,0.65,60,0.0,1,Stable,Tech Enthusiast,3,Medium,Yes,Balanced,Reduce Restaurant Spending
10,2,1500,492.12,1007.88,0.672,0.0,0.0,0.502,0.0,0.0,0.192,0.115,0.833,0.833,0.638,60,0.0,1,Stable,Tech Enthusiast,3,Medium,No,Balanced,Reduce Shopping
10,3,1500,4863.41,-3363.41,-2.242,0.0,0.0,0.022,0.0,0.822,0.013,0.059,0.778,1.0,0.0,60,0.0,1,Increasing,Tech Enthusiast,3,High,No,Overspender,Emergency Spending Alert
10,4,1500,5563.82,-4063.82,-2.709,0.005,0.003,0.0,0.0,0.96,0.0,0.96,0.667,0.667,0.0,60,0.0,1,Increasing,Tech Enthusiast,3,High,No,Overspender,Emergency Spending Alert
10,5,1500,1931.73,-431.73,-0.288,0.0,0.01,0.334,0.0,0.581,0.0,0.01,0.833,1.0,0.0,60,0.0,1,Decreasing,Tech Enthusiast,3,High,No,Overspender,Emergency Spending Alert
10,6,1500,4217.43,-2717.43,-1.812,0.0,0.004,0.019,0.0,0.898,0.0,0.463,0.875,1.0,0.0,60,0.0,1,Increasing,Tech Enthusiast,3,High,No,Overspender,Emergency Spending Alert
10,7,1500,6380.99,-4880.99,-3.254,0.0,0.004,0.022,0.0,0.934,0.017,0.42,0.667,0.833,0.0,60,0.0,1,Increasing,Tech Enthusiast,3,High,No,Overspender,Emergency Spending Alert
10,8,1500,7216.87,-5716.87,-3.811,0.019,0.0,0.148,0.0,0.831,0.0,0.233,0.909,0.909,0.0,60,0.0,1,Increasing,Tech Enthusiast,3,High,No,Overspender,Emergency Spending Alert
10,9,1500,5097.14,-3597.14,-2.398,0.016,0.007,0.067,0.0,0.854,0.0,0.368,0.917,0.917,0.0,60,0.0,1,Decreasing,Tech Enthusiast,3,High,No,Overspender,Emergency Spending Alert
10,10,1500,2449.95,-949.95,-0.633,0.041,0.024,0.0,0.0,0.854,0.0,0.042,0.727,0.909,0.0,60,0.0,1,Decreasing,Tech Enthusiast,3,High,No,Overspender,Emergency Spending Alert
10,11,1500,11085.14,-9585.14,-6.39,0.0,0.005,0.018,0.0,0.963,0.011,0.374,0.6,1.0,0.0,60,0.0,1,Increasing,Tech Enthusiast,3,High,No,Overspender,Emergency Spending Alert
10,12,1500,2818.48,-1318.48,-0.879,0.021,0.007,0.0,0.0,0.856,0.0,0.0,0.6,1.0,0.0,60,0.0,1,Decreasing,Tech Enthusiast,3,High,No,Overspender,Emergency Spending Alert
11,1,990,699.17,290.83,0.294,0.0,0.017,0.612,0.019,0.0,0.083,0.653,0.75,0.375,0.166,85,0.015,1,Stable,Improving,3,Low,No,Disciplined,Reduce Shopping
11,2,990,167.19,822.81,0.831,0.196,0.072,0.0,0.0,0.0,0.0,0.246,0.25,0.5,0.801,60,0.0,1,Decreasing,Improving,3,Medium,No,Recovering,Increase Monthly Savings
11,3,990,749.65,240.35,0.243,0.041,0.033,0.443,0.027,0.0,0.0,0.146,0.455,0.818,0.106,60,0.0,1,Increasing,Improving,3,Medium,No,Recovering,Reduce Shopping
11,4,990,821.96,168.04,0.17,0.0,0.0,0.571,0.045,0.0,0.0,0.387,0.667,0.0,0.02,60,0.0,1,Stable,Improving,3,Medium,No,Recovering,Reduce Shopping
11,5,990,662.4,327.6,0.331,0.116,0.018,0.374,0.037,0.0,0.0,0.261,0.545,0.636,0.21,60,0.0,1,Decreasing,Improving,3,Medium,No,Recovering,Reduce Shopping
11,6,990,379.78,610.22,0.616,0.0,0.0,0.211,0.033,0.0,0.0,0.311,0.6,0.6,0.547,60,0.0,1,Decreasing,Improving,3,Medium,No,Recovering,Increase Monthly Savings
11,7,990,1177.9,-187.9,-0.19,0.069,0.0,0.469,0.0,0.0,0.169,0.39,0.556,0.444,0.0,60,0.0,1,Increasing,Improving,3,High,No,Overspender,Emergency Spending Alert
11,8,990,1934.03,-944.03,-0.954,0.046,0.01,0.155,0.0,0.729,0.0,0.0,0.857,0.571,0.0,60,0.0,1,Increasing,Improving,3,High,No,Overspender,Emergency Spending Alert
11,9,990,557.33,432.67,0.437,0.083,0.022,0.0,0.0,0.0,0.112,0.112,0.429,0.571,0.336,60,0.0,1,Decreasing,Improving,3,Medium,No,Recovering,Increase Monthly Savings
11,10,990,594.39,395.61,0.4,0.202,0.064,0.0,0.016,0.0,0.092,0.357,0.385,0.538,0.291,60,0.0,1,Stable,Improving,3,Medium,No,Recovering,Increase Monthly Savings
11,11,990,620.93,369.07,0.373,0.085,0.019,0.474,0.052,0.0,0.0,0.64,1.0,0.571,0.26,60,0.0,1,Stable,Improving,3,Medium,No,Recovering,Reduce Shopping
11,12,990,602.46,387.54,0.391,0.094,0.0,0.14,0.056,0.0,0.0,0.272,0.6,0.4,0.282,60,0.0,1,Stable,Improving,3,Medium,No,Recovering,Increase Monthly Savings
